"LICENSE","DBA","LOCATION ADDRESS","COUNTY","PHONE","Location 1"
"RL00530","COTTONWOOD STEAKHOUSE","409 W MAIN ST","SAN JUAN","435-672-2282","409 W MAIN ST BLUFF UT 84512 (37.28157257700008, -109.56692734699999)"
"BC00155","HILTON GARDEN INN @ SLC AIRPORT","4975 WILEY POST WAY","SALT LAKE","219-472-2900","4975 WILEY POST WAY SALT LAKE CITY UT 84116 (40.773489522000034, -112.00934144599995)"
"RE02036","CHEESECAKE FACTORY (CITY CREEK)","STORE","SALT LAKE","801-521-1732","STORE SALT LAKE CITY UT 84101 (40.76060713900006, -111.89735800399995)"
"RL00172","LA DOLCE VITA RISTORANTE","61 N 100 EAST","UTAH","801-373-8482","61 N 100 EAST PROVO UT 84606 (40.23457320700004, -111.65690916899996)"
"RE01456","BISTRO412","412 MAIN ST","SUMMIT","435-649-8211","412 MAIN ST PARK CITY UT 84060 (40.64329748700004, -111.49561134799995)"
"RL00303","REEF'S CUISINE","710 MAIN ST","SUMMIT","435-658-0323","710 MAIN ST PARK CITY UT 84098 (40.64716577400003, -111.49792272699995)"
"CL00330","CANYON INN","3700 E 7000 SOUTH","SALT LAKE","801-943-6969","3700 E 7000 SOUTH SALT LAKE CITY UT 84121 (40.619287212000074, -111.79084085299996)"
"RL00764","BOMBAY HOUSE (W JORDAN)","7726 CAMPUS VIEW DR","SALT LAKE","801-373-6677","7726 CAMPUS VIEW DR WEST JORDAN UT 84084 (40.61061989600006, -111.98128144799995)"
"CL00925","RUTH'S CHRIS CLUB @ HOTEL PARK CITY","2001 PARK AVE","SUMMIT","435-940-5069","2001 PARK AVE PARK CITY UT 84060 (40.66234403900006, -111.512514652)"
"CL00982","RUMBA NIGHT CLUB","4090 W 5415 S","SALT LAKE",,"4090 W 5415 S SALT LAKE CITY UT 84118 (40.65280842100003, -111.98872113199997)"
"CL00477","MOOSE #2031 (TOOELE)","1100 E VINE ST","TOOELE","435-882-2931","1100 E VINE ST TOOELE UT 84074 (40.531815463000044, -112.27294934899999)"
"CL00603","FACES","659 N 300 W","SALT LAKE","801-596-0344","659 N 300 W SALT LAKE CITY UT 84103 (40.78387010700004, -111.89973732199996)"
"RL00619","OISHI SUSHI BAR & GRILL","710 MAIN ST","SUMMIT","435-615-2255","710 MAIN ST PARK CITY UT 84060 (40.64704009800005, -111.49783409999998)"
"RE01581","RED ROCK JUNCTION","1640 W RED STONE CTR DR","SUMMIT","435-575-0295","1640 W RED STONE CTR DR PARK CITY UT 84098 (40.72005741000004, -111.54184529599996)"
"CL01283","BURT'S TIKI LOUNGE","726 S STATE","SALT LAKE","801-453-9458","726 S STATE SALT LAKE CITY UT 84111 (40.75344064900003, -111.88826635599997)"
"RE01913","MAIN STREET GRILL","715 E MAIN ST","CARBON","435-636-3463","715 E MAIN ST PRICE UT 84501 (39.59956753300003, -110.79756017699998)"
"CL01246","LIGHTHOUSE LOUNGE","130 25TH ST","WEBER","801-392-3901","130 25TH ST OGDEN UT 84401 (41.220787716000075, -111.97792079499999)"
"CL01120","MATTY'S CLUB @ ZERMATT RESORT","784 RESORT DR","WASATCH","435-657-0180","784 RESORT DR MIDWAY UT 84049 (40.52530090300007, -111.48886888899995)"
"CL00678","TAVERNACLE SOCIAL CLUB","201 E 300 S","SALT LAKE","801-519-8900","201 E 300 S SALT LAKE CITY UT 84111 (40.76292853700005, -111.88512062699999)"
"RE01897","TGI FRIDAY'S (WEST VALLEY)","3555 S 2700 W","SALT LAKE","801-261-3700","3555 S 2700 W SALT LAKE CITY UT 84119 (40.69524334300007, -111.95783363799995)"
"CL00896","SANDTRAP CLUB","2851 WASHINGTON BLVD","WEBER","801-394-4446","2851 WASHINGTON BLVD OGDEN UT 84401 (41.21341364700004, -111.97067686399998)"
"BE00006","DELTON SPORTS CENTER","3544 W 3500 SOUTH","SALT LAKE","801-968-4821","3544 W 3500 SOUTH SALT LAKE CITY UT 84119 (40.69671842400004, -111.97576026699994)"
"RE01711","FRONTIER MOTEL & GRILL","75 S 200 E","DUCHESNE","435-722-3669","75 S 200 E ROOSEVELT UT 84066 (40.29388602600005, -109.98888582299998)"
"CL00542","WEE BLU INN SUPPER CLUB","39 N MAIN","UTAH","801-465-9071","39 N MAIN PAYSON UT 84651 (40.04391966400004, -111.73231653499994)"
"CL00300","BARBARY COAST","4242 S STATE","SALT LAKE","801-265-9889","4242 S STATE SALT LAKE CITY UT 84107 (40.67956094800007, -111.88833664499998)"
"CL00871","CLUB MONSOON","605 MAIN ST","SUMMIT","435-649-8424","605 MAIN ST PARK CITY UT 84060 (40.64582559300004, -111.49708050699996)"
"CL00221","BLACK JACKS","65 W 100 N","UTAH","801-368-4957","65 W 100 N SPANISH FORK UT 84660 (40.11117259200006, -111.65611152999998)"
"RL00343","PEI WEI ASIAN DINER (WEST BOUNTIFUL)","71 N 500 W","DAVIS","801-294-0929","71 N 500 W BOUNTIFUL UT 84010 (40.89014160200003, -111.89226707899996)"
"RE01700","CHILI'S (CEDAR CITY) #1334","1237 S SAGE DR","IRON","435-586-9700","1237 S SAGE DR CEDAR CITY UT 84720 (37.65601500300005, -113.08384331499997)"
"RE02280","STEAK PIT @ SNOWBIRD RESORT","9385 S SNOWBIRD CENTER DR","SALT LAKE","801-933-2260","9385 S SNOWBIRD CENTER DR SNOWBIRD UT 84092 (40.55808643200004, -111.82957591799999)"
"TV00068","LAZY DOG SALOON","12755 S REDWOOD RD","SALT LAKE","801-302-5584","12755 S REDWOOD RD RIVERTON UT 84065 (40.51943064900007, -111.93869481699994)"
"RB00277","WINGER'S (KAYSVILLE)","260 W 200 N","DAVIS","801-497-0303","260 W 200 N KAYSVILLE UT 84037 (41.03815796200007, -111.94311036099998)"
"RB00160","PIE HOLE","344 S STATE ST","SALT LAKE","801-359-4653","344 S STATE ST SALT LAKE CITY UT 84111 (40.761611757000026, -111.88826245199999)"
"RE02246","LA HACIENDA RESTAURANT (MOAB)","574 N MAIN ST","GRAND","435-259-6319","574 N MAIN ST MOAB UT 84532 (38.58129131000004, -109.55176883899998)"
"CL01058","RUTH'S CHRIS STEAK HOUSE (SALT LAKE CITY)","275 S WEST TEMPLE","SALT LAKE","801-363-2000","275 S WEST TEMPLE SALT LAKE CITY UT 84101 (40.76352591600005, -111.89392697199997)"
"RE01984","OUTPOST GRILL","150 S WEST VILLAGE CIR","BEAVER","435-438-3634","150 S WEST VILLAGE CIR BEAVER UT 84713 (38.295304196000075, -112.40465387699999)"
"RE02075","CANTINA SOUTHWESTERN GRILL (SANDY)","75 E 9400 S","SALT LAKE","801-546-2488","75 E 9400 S SANDY UT 84070 (40.58062070500006, -111.88858437799996)"
"RE02112","LONGHORN STEAKHOUSE (OGDEN)","3647 WALL AVE","WEBER","801-621-4061","3647 WALL AVE OGDEN UT 84401 (41.19707115700004, -111.97946265099995)"
"AL00009","CAT CORA'S KITCHEN","776 N TERMINAL DR B7","SALT LAKE","801-322-6304","776 N TERMINAL DR B7 SALT LAKE CITY UT 84116 (40.78350511600007, -111.98068121399996)"
"RE01318","APPLEBEE'S (TOOELE)","1280 N 30 W","TOOELE","435-882-0064","1280 N 30 W TOOELE UT 84074 (40.55724270400003, -112.29827364499994)"
"CL01211","MAXWELL'S EAST COAST EATERY","9 EXCHANGE PLACE","SALT LAKE","801-328-0304","9 EXCHANGE PLACE SALT LAKE CITY UT 84111 (40.761437485000044, -111.89056054899999)"
"CL00919","MARKET STREET OYSTER BAR (S JORDAN)","10702 RIVERFRONT PKWY","SALT LAKE","801-239-2412","10702 RIVERFRONT PKWY SOUTH JORDAN UT 84095 (40.55683371600003, -111.91217966099998)"
"CL00045","EAGLES 1760 (MURRAY)","10 W 4TH AVE","SALT LAKE","801-266-0896","10 W 4TH AVE SALT LAKE CITY UT 84107 (40.66485783200005, -111.89112977599996)"
"BE02387","GRILLE @ BEAR RIVER BOWLING","1410 W MAIN","BOX ELDER","435-257-4745","1410 W MAIN TREMONTON UT 84337 (41.71126020300005, -112.18596620299996)"
"BC00054","ROCKY MOUNTAIN RACEWAY","6555 W 2100 S","SALT LAKE","801-252-9557","6555 W 2100 S SALT LAKE CITY UT 84128 (40.72234237600003, -112.04561791499998)"
"BE02489","CRANE FIELD GOLF COURSE","3648 W 2650 N","DAVIS","801-779-3800","3648 W 2650 N CLEARFIELD UT 84015 (41.15217961400003, -112.07440743099994)"
"RL00836","SONNY BOY'S BARBECUE (HURRICANE)","980 W STATE ST","WASHINGTON","435-215-3011","980 W STATE ST HURRICANE UT 84737 (37.17651822000005, -113.30539092799995)"
"CL01151","MACCOOL'S - OGDEN","2510 WASHINGTON BLVD","WEBER","801-675-5920","2510 WASHINGTON BLVD OGDEN UT 84401 (41.21998111900007, -111.97050355699997)"
"CL01177","BREAK SPORTS GRILL","11274 KESTRAL RISE RD","SALT LAKE","801-987-3354","11274 KESTRAL RISE RD SOUTH JORDAN UT 84095 (40.54655881900004, -112.00215212899997)"
"RL00312","SIZZLER (SANDY) #541","20 W 9000 SOUTH","SALT LAKE","801-566-8021","20 W 9000 SOUTH SANDY UT 84070 (40.58811816800005, -111.89150081099996)"
"RE02262","MELLOW MUSHROOM PIZZA BAKERS","1080 E 2100 S STE 14","SALT LAKE","801-253-0214","1080 E 2100 S STE 14 SALT LAKE CITY UT 84106 (40.725182361000066, -111.86012797099994)"
"RE00126","OLD SPAGHETTI FACTORY (TROLLEY)","189 TROLLEY SQUARE","SALT LAKE","503-225-0433","189 TROLLEY SQUARE SALT LAKE CITY UT 84102 (40.757402812000066, -111.87106671099997)"
"RL00912","VITO'S ITALIAN RISTORANTE","137 N MAIN STREET","WASATCH",,"137 N MAIN STREET HEBER CITY UT 84032 (40.50946456100007, -111.41347590099997)"
"RB00045","BUSY BEE","2115 S STATE ST","SALT LAKE",,"2115 S STATE ST SALT LAKE CITY UT 84115 (40.724950481000064, -111.88820413299999)"
"RL00880","TASTE OF INDIA","1664 WOODLAND PARK DR","DAVIS","801-614-0107","1664 WOODLAND PARK DR LAYTON UT 84041 (41.084682920000034, -111.98417821799995)"
"RE01392","OASIS RESTAURANT","151 S 500 EAST","SALT LAKE","801-322-0404","151 S 500 EAST SALT LAKE CITY UT 84102 (40.76586109400006, -111.87676427899999)"
"BC00178","SNOWBIRD CONFERENCE OPERATIONS","9320 S CLIFF LODGE DR","SALT LAKE","801-933-2095","9320 S CLIFF LODGE DR SNOWBIRD UT 84092 (40.55808643200004, -111.82957591799999)"
"RL00942","NORMANDIE CAFE AND BAKERY","1984 E MURRAY HOLLADAY RD","SALT LAKE","801-277-5244","1984 E MURRAY HOLLADAY RD SALT LAKE CITY UT 84117 (40.665843033000044, -111.83484080999995)"
"RB00225","SONNY BOYS BARBECUE","126 N MAIN ST","IRON","435-867-8010","126 N MAIN ST CEDAR CITY UT 84720 (37.67954469400007, -113.06176201499994)"
"RE00450","EDDIE MCSTIFF'S","57 S MAIN","GRAND","435-259-2337","57 S MAIN MOAB UT 84532 (38.572416142000066, -109.55074966699999)"
"RL00262","MARISCOS LAS ISLITAS #1","4219 W 3500 S","SALT LAKE","801-982-7488","4219 W 3500 S SALT LAKE CITY UT 84120 (40.69657323700005, -111.99211114599996)"
"RE00288","CAFE TERIGO","424 MAIN ST","SUMMIT","435-645-9555","424 MAIN ST PARK CITY UT 84060 (40.64347724300006, -111.49571159599998)"
"RE01648","CORBIN'S GRILLE","748 W HERITAGE BLVD","DAVIS","801-825-2502","748 W HERITAGE BLVD LAYTON UT 84041 (41.08286796600004, -111.975928738)"
"RL00926","J & C HOUSE","12564 S RHETSKI LANE","SALT LAKE",,"12564 S RHETSKI LANE RIVERTON UT 84065 (40.52277260100004, -111.98213193299995)"
"CL00862","CORNER STORE PUB & GRILL","1325 LOWELL AVE","SUMMIT",,"1325 LOWELL AVE PARK CITY UT 84060 (40.65159194200004, -111.50625576399995)"
"RL00887","ROAD ISLAND DINER","981 W WEBER CYN RD","SUMMIT","435-783-3467","981 W WEBER CYN RD OAKLEY UT 84055 (40.71639643300006, -111.29980952299996)"
"CL01254","SALT FLATS GRILL","222 S MAIN ST","SALT LAKE",,"222 S MAIN ST SALT LAKE CITY UT 84101 (40.76451323600003, -111.89121867999995)"
"RL00798","HOUSE OF TIBET","145 E 1300 SOUTH","SALT LAKE","801-364-1376","145 E 1300 SOUTH SALT LAKE CITY UT 84115 (40.741648197000075, -111.88716131799998)"
"BE01194","ALTA SKI AREA / ALF'S / WATSON SHELTER / ALBION GRILL","ALTA SKI AREA / HWY 210","SALT LAKE","801-799-2295","ALTA SKI AREA / HWY 210 SANDY UT 84092 (40.55808643200004, -111.82957591799999)"
"RL00813","DUKE'S SLICKROCK GRILL","275 E 100 N","WAYNE","435-542-3235","275 E 100 N HANKSVILLE UT 84734 (38.37443138300006, -110.70935670599994)"
"RL00896","SEN SUSHI / HOT DYNASTY","3370 S STATE ST","SALT LAKE","801-809-3299","3370 S STATE ST SALT LAKE CITY UT 84115 (40.698050462000026, -111.88831705699994)"
"BC00082","GREEN VALLEY SPA","1871 W CYN VIEW DR","WASHINGTON","435-986-5088","1871 W CYN VIEW DR ST GEORGE UT 84770 (37.09261482000005, -113.62337922699999)"
"RE02109","TEXAS ROADHOUSE (LAYTON)","685 S RING RD","DAVIS","801-544-7427","685 S RING RD LAYTON UT 84041 (41.079750217000026, -111.97821789299996)"
"BE02520","SYRACUSE FAMILY FUN CENTER","1806 S 2000 W","DAVIS","801-779-2695","1806 S 2000 W SYRACUSE UT 84075 (41.087601223000036, -112.06465650399997)"
"RL00906","PIZZA REV (VALLEY FAIR)","3601 S 2700 W","SALT LAKE","801-532-5108","3601 S 2700 W SALT LAKE CITY UT 84119 (40.694067791000066, -111.95785344899997)"
"RE01619","GOODWOOD BARBECUE COMPANY (DRAPER)","133 E 12300 S","SALT LAKE","208-895-8640","133 E 12300 S DRAPER UT 84020 (40.526787968000065, -111.88650105999994)"
"RL00450","BELLA'S FRESH MEXICAN GRILL","2651 N 1850 W","WEBER","801-737-0557","2651 N 1850 W OGDEN UT 84404 (41.30576804300006, -112.02387348999997)"
"RE00903","APPLEBEE'S (RIVERDALE)","1125 W RIVERDALE RD","WEBER","801-394-2200","1125 W RIVERDALE RD OGDEN UT 84405 (41.17583374600008, -112.007120768)"
"RL00435","WHIPTAIL GRILL","445 ZION PARK BLVD","WASHINGTON","435-772-0283","445 ZION PARK BLVD SPRINGDALE UT 84767 (37.19461452300004, -112.99295019499999)"
"RL00806","BROKEN SPUR INN & STEAKHOUSE","955 E SR UT 24","WAYNE","435-425-3775","955 E SR UT 24 TORREY UT 84775 (38.29907896800006, -111.42135830699999)"
"CL01229","SKY BLUE","201 HEBER AVE","SUMMIT","435-658-2500","201 HEBER AVE PARK CITY UT 84060 (40.64627844000006, -111.49661728999996)"
"RL00696","ICHIBAN SUSHI & ASIAN GRILL","3424 S STATE ST","SALT LAKE","801-486-8882","3424 S STATE ST SALT LAKE CITY UT 84115 (40.69702445300004, -111.88830277599999)"
"CL01266","COPPER KING I","9071 W 2700 S","SALT LAKE","801-450-0308","9071 W 2700 S MAGNA UT 84044 (40.710943343000054, -112.10775990999997)"
"CL01094","STATE ROOM","638 S STATE ST","SALT LAKE","801-596-3560","638 S STATE ST SALT LAKE CITY UT 84111 (40.75527047200006, -111.88826635599997)"
"BC00183","ALL-STAR CATERING-SALT LAKE BEES","77 W 1300 S","SALT LAKE","801-325-2000","77 W 1300 S SALT LAKE CITY UT 84115 (40.74157329800005, -111.89255053999995)"
"CL01233","LINDA LOU'S TIME FOR TWO","2981 N 350 W","DAVIS","801-628-8578","2981 N 350 W LAYTON UT 84041 (41.099513030000026, -111.97240258399995)"
"RE01314","GRAND AMERICA HOTEL RESTAURANT","555 S MAIN ST","SALT LAKE","801-258-6000","555 S MAIN ST SALT LAKE CITY UT 84111 (40.75723268400003, -111.89094321399995)"
"TV00064","HAWN'S LOUNGE/HYRUM BILLIARDS","84 W MAIN","CACHE","435-245-4364","84 W MAIN HYRUM UT 84319 (41.634128488000044, -111.85735985299999)"
"RL00526","FLYING MONKEY","975 ZION PARK BLVD","WASHINGTON","435-229-2963","975 ZION PARK BLVD SPRINGDALE UT 84767 (37.18866327100005, -113.00007427199995)"
"RE01455","LE NONNE","129 N 100 EAST","CACHE","435-752-9577","129 N 100 EAST LOGAN UT 84321 (41.73384234700006, -111.83236686099997)"
"RB00224","MOUNTAIN MIKE'S PIZZA","3785 W 10400 S","SALT LAKE","801-878-1551","3785 W 10400 S SOUTH JORDAN UT 84095 (40.56185667800003, -111.98156294599994)"
"RL00838","NOODLES & CO. (S JORDAN)","11429 S DISTRICT MAIN DR","SALT LAKE",,"11429 S DISTRICT MAIN DR SOUTH JORDAN UT 84095 (40.54165685700008, -111.98065677999995)"
"RL00360","SETTEBELLO PIZZERIA NAPOLETANA","260 S 200 WEST","SALT LAKE","801-322-3556","260 S 200 WEST SALT LAKE CITY UT 84101 (40.76355676700007, -111.89687129799995)"
"CL01154","'BOUT TIME PUB & GRUB (SLC)","169 RIO GRANDE ST","SALT LAKE","801-243-1401","169 RIO GRANDE ST SALT LAKE CITY UT 84101 (40.76583449700007, -111.90406961999997)"
"RE01823","RED ROBIN (FOOTHILL)   #413","1313 S FOOTHILL DR","SALT LAKE","801-268-3400","1313 S FOOTHILL DR SALT LAKE CITY UT 84108 (40.74089114700007, -111.82657664499999)"
"CL01169","PITCHER'S LOUNGE @ UNIVERSITY PARK MARRIOTT","480 WAKARA WAY","SALT LAKE","801-581-1000","480 WAKARA WAY SALT LAKE CITY UT 84108 (40.75839315600007, -111.82970163299996)"
"RE00755","COURTYARD CAFE @ MARRIOTT (SANDY)","10701 HOLIDAY PARK DR","SALT LAKE","801-571-3600","10701 HOLIDAY PARK DR SANDY UT 84070 (40.55656753900007, -111.89548424899999)"
"RL00333","PAWIT'S ROYALE THAI CUISINE","1968 E MURRAY HOLLADAY RD","SALT LAKE","801-277-3658","1968 E MURRAY HOLLADAY RD SALT LAKE CITY UT 84117 (40.66584479900007, -111.83471910699996)"
"CL00156","VFW 3586 (SALT LAKE)","2920 HIGHLAND DR","SALT LAKE","801-466-0964","2920 HIGHLAND DR SALT LAKE CITY UT 84106 (40.707608640000046, -111.85358382599998)"
"CL00891","HABITS","832 E 3900 S","SALT LAKE","801-268-2223","832 E 3900 S SALT LAKE CITY UT 84107 (40.68704271400003, -111.86757022199998)"
"RE02296","FINCA","327 W 200 S #103","SALT LAKE",,"327 W 200 S #103 SALT LAKE CITY UT 84105 (40.76496608700006, -111.90095392799998)"
"CL00709","PROMONTORY'S DEER VALLEY MOUNTAIN LODGE","7580 ROYAL ST","SUMMIT","435-333-4219","7580 ROYAL ST PARK CITY UT 84060 (40.62265320600005, -111.48860547499999)"
"RL00726","SETTEBELLO PIZZERIA NAPOLETANA (FARMINGTON)","895 W PROMONTORY","DAVIS","801-451-9100","895 W PROMONTORY FARMINGTON UT 84025 (40.98365860500007, -111.90746830999996)"
"RL00729","TRIPLE T J'S CAFE","1141 W STATE ST","WASHINGTON","435-635-9014","1141 W STATE ST HURRICANE UT 84737 (37.17644332200007, -113.30913008299996)"
"CL00903","WILLIE'S LOUNGE","1716 S MAIN ST","SALT LAKE","801-487-9578","1716 S MAIN ST SALT LAKE CITY UT 84115 (40.733030281000026, -111.89113668999994)"
"RE01567","DOUBLE BLACK DIAMOND","223 HUNTER RIDGE RD","IRON","435-677-4223","223 HUNTER RIDGE RD BRIAN HEAD UT 84719 (37.705469840000035, -112.85025457599994)"
"RE01997","PEACE TREE JUICE CAFE (MOAB)","20 E MAIN ST","GRAND",,"20 E MAIN ST MOAB UT 84532 (38.57293050100003, -109.55081568599996)"
"BE02282","DAVIS CONFERENCE CENTER","1651 N 700 W","DAVIS","801-416-8888","1651 N 700 W LAYTON UT 84041 (41.08509846700008, -111.97958699499998)"
"RE01746","WINGER'S (PROVO)","1200 S. TOWNE CENTRE BLVD","UTAH","801-812-2141","1200 S. TOWNE CENTRE BLVD PROVO UT 84601 (40.21762269100003, -111.66077135699999)"
"RB00250","SUSIE'S BRANDING IRON","2971 S HWY 191","GRAND","435-259-6275","2971 S HWY 191 MOAB UT 84532 (38.52841045800005, -109.50350943899997)"
"CL01153","WING TIPS BAR & BISTRO","5001 W WILEY POST WAY","SALT LAKE","801-374-9750","5001 W WILEY POST WAY SALT LAKE CITY UT 84116 (40.77349265700008, -112.01093136399999)"
"RE01968","WILD ROSE","11516 S DISTRICT MAIN DR","SALT LAKE","801-790-7673","11516 S DISTRICT MAIN DR SOUTH JORDAN UT 84095 (40.54225902300004, -111.98069228299994)"
"RE02242","LAKEVIEW RESTAURANT","5151 WILEY POST WAY","SALT LAKE","801-539-1515","5151 WILEY POST WAY SALT LAKE CITY UT 84116 (40.77361364600006, -112.01457372699997)"
"RL00809","CAFE THAO MI RESTAURANT","1773 W CARRIAGE SQ","SALT LAKE","801-906-0120","1773 W CARRIAGE SQ SALT LAKE CITY UT 84119 (40.68067819200007, -111.94017575699996)"
"RE00612","SUNSET GRILL","900 N HWY 191","GRAND","435-259-7146","900 N HWY 191 MOAB UT 84532 (38.588837031000025, -109.56087235599995)"
"RE02168","RUBY RIVER STEAKHOUSE (CENTERVILLE)","111 S FRONTAGE RD","DAVIS","385-223-5522","111 S FRONTAGE RD CENTERVILLE UT 84014 (40.91566388000007, -111.89066465599996)"
"CL00707","BAYOU","645 S STATE ST","SALT LAKE","801-961-8400","645 S STATE ST SALT LAKE CITY UT 84111 (40.75509071600004, -111.88819491499999)"
"CL00012","AMERICAN LEGION 129 (HUNTSVILLE)","604 S 7800 E","WEBER","801-745-3802","604 S 7800 E HUNTSVILLE UT 84317 (41.25397837600008, -111.76115574799996)"
"CL00945","TRAILS","921 S 300 WEST","SALT LAKE","801-363-2871","921 S 300 WEST SALT LAKE CITY UT 84101 (40.74928091100003, -111.89964398699999)"
"RE01983","BOULEVARD BISTRO","3963 E ALPINE VALLEY CR","SALT LAKE","801-572-5507","3963 E ALPINE VALLEY CR DRAPER UT 84092 (40.574697541000035, -111.78488824099998)"
"RE01594","GOODWOOD BARBECUE COMPANY (OREM)","777 E UNIVERSITY PARKWAY","UTAH","801-224-1962","777 E UNIVERSITY PARKWAY OREM UT 84097 (40.27308033400004, -111.67663333899998)"
"RE02060","VINTO PIZZERIA (PARK CITY)","875 MAIN ST","SUMMIT","435-615-9990","875 MAIN ST PARK CITY UT 84060 (40.64799188300003, -111.49860728099998)"
"BC00051","PARK CITY MARRIOTT","1895 SIDEWINDER DR","SUMMIT","435-615-4500","1895 SIDEWINDER DR PARK CITY UT 84060 (40.66408349900007, -111.49707013699998)"
"RE00108","ELEVATIONS @ SALT LAKE MARRIOTT","75 S W TEMPLE","SALT LAKE","801-531-0800","75 S W TEMPLE SALT LAKE CITY UT 84101 (40.76764713100005, -111.89383418199998)"
"RL00681","PARK CITY COFFEE ROASTER (UTE BLVD)","1680 W UTE BLVD","SUMMIT","435-647-9097","1680 W UTE BLVD PARK CITY UT 84098 (40.72453955300006, -111.54416375399995)"
"TV00210","WEST VALLEY BILLIARDS","4669 W 3500 SOUTH","SALT LAKE","801-968-2200","4669 W 3500 SOUTH SALT LAKE CITY UT 84120 (40.69656286600008, -112.00255081899996)"
"RE00680","APPLEBEE'S (MURRAY)","6123 S STATE","SALT LAKE","801-262-9360","6123 S STATE SALT LAKE CITY UT 84107 (40.63735288200007, -111.88916931499995)"
"RE01991","DEER VALLEY GROCERY - CAFE","1375 DEER VALLEY DR","SUMMIT","435-615-2400","1375 DEER VALLEY DR PARK CITY UT 84060 (40.64321221800003, -111.48398828099994)"
"BE02543","LEGACY EVENT CENTER","151 S 1100 W","DAVIS","801-451-4080","151 S 1100 W FARMINGTON UT 84025 (40.97963903800007, -111.91130824499999)"
"RL00839","INDIA PALACE (SOUTH JORDAN)","1086 W S JORDAN PARKWAY","SALT LAKE",,"1086 W S JORDAN PARKWAY SOUTH JORDAN UT 84095 (40.56089693900003, -111.92180214499996)"
"RE01771","FRATELLI","9236 VILLAGE SHOP DR","SALT LAKE","801-495-4550","9236 VILLAGE SHOP DR SANDY UT 84094 (40.583795715000065, -111.86299822399997)"
"CL00127","RIVERSIDE COUNTRY CLUB","2701 N UNIVERSITY AV","UTAH","801-374-1347","2701 N UNIVERSITY AV PROVO UT 84604 (40.26932442400005, -111.65706677099996)"
"RE02321","FAUSTINA RESTAURANT","454 E 300 S","SALT LAKE","801-746-4441","454 E 300 S SALT LAKE CITY UT 84111 (40.76280293800005, -111.87775063199996)"
"RL00861","ASIAN BISTRO","1120 N MAIN ST","DAVIS","801-547-5088","1120 N MAIN ST LAYTON UT 84041 (41.07630425200006, -111.98286293199999)"
"CL01149","INFERNO CANTINA","122 W PIERPONT AVE","SALT LAKE","801-755-8321","122 W PIERPONT AVE SALT LAKE CITY UT 84101 (40.763953843000024, -111.89467532199996)"
"RE00935","OLIVE GARDEN (PROVO) #1292","504 W 2230 N","UTAH","801-836-5018","504 W 2230 N PROVO UT 84604 (40.26355398800007, -111.66598354899998)"
"RL00314","SIZZLER # 439 (LOGAN)","1165 N MAIN","CACHE","435-752-2771","1165 N MAIN LOGAN UT 84341 (41.75406143600003, -111.83447784099997)"
"RL00480","SHOOTS CHINESE RESTAURANT","4801 N UNIVERSITY AVE","UTAH","801-225-0445","4801 N UNIVERSITY AVE PROVO UT 84604 (40.297718952000025, -111.65700454799997)"
"RB00273","PELICAN STATION (ROOSEVELT)","1305 W HWY 40","DUCHESNE","435-725-2233","1305 W HWY 40 ROOSEVELT UT 84066 (40.280589279000026, -110.01629897599997)"
"BC00125","CHATEAUX @ SILVER LAKE","7815  ROYAL STREET EAST","SUMMIT","435-649-3700","7815 ROYAL STREET EAST PARK CITY UT 84060 (40.623724828000036, -111.48800052699994)"
"RE02204","WING NUTZ (DRAPER)","121 E 12300 S","SALT LAKE","801-518-8345","121 E 12300 S DRAPER UT 84020 (40.52678885100005, -111.88639028999995)"
"CL00448","ELKS 2375 (VERNAL)","35 N 300 W","UINTAH","435-789-4517","35 N 300 W VERNAL UT 84078 (40.45618881300004, -109.53489667799994)"
"TV00170","SOFA'S CORNER","91 E FACTORY","BOX ELDER","435-257-0070","91 E FACTORY GARLAND UT 84312 (41.74111244100004, -112.16152920699994)"
"RE02275","EL CHANATE / ATRIUM @ SNOWBIRD RESORT","9320 S CLIFF LODGE DR","SALT LAKE","801-933-2025","9320 S CLIFF LODGE DR SNOWBIRD UT 84092 (40.55808643200004, -111.82957591799999)"
"RB00047","CAFE SILVESTRE (WEST VALLEY)","3524 S 2200 WEST","SALT LAKE","801-972-5582","3524 S 2200 WEST SALT LAKE CITY UT 84119 (40.69611232400007, -111.94847653799997)"
"RE00843","YURT @ SOLITUDE RESORT","12000 BIG COTTONWOOD CYN","SALT LAKE","801-534-1400","12000 BIG COTTONWOOD CYN SALT LAKE CITY UT 84121 (40.62004213500006, -111.59107789599994)"
"CL01129","SHABU","442 MAIN ST","SUMMIT","435-640-6512","442 MAIN ST PARK CITY UT 84060 (40.64357378900007, -111.49576397599998)"
"RE00741","APPLEBEE'S (TAYLORSVILLE)","5678 S REDWOOD RD","SALT LAKE","801-532-5108","5678 S REDWOOD RD SALT LAKE CITY UT 84123 (40.648169334000045, -111.93886650699994)"
"RE02144","KAN KUN","1680 S 525 W","BEAVER","435-438-5908","1680 S 525 W BEAVER UT 84713 (38.25085894500006, -112.65161062899995)"
"RE01525","JOE'S CRAB SHACK (W. JORDAN)","7277 S PLAZA CTR DR","SALT LAKE","801-282-8802","7277 S PLAZA CTR DR WEST JORDAN UT 84084 (40.61853110700008, -111.979270569)"
"RE01037","HOOTERS","7157 S STATE","SALT LAKE","801-532-5108","7157 S STATE MIDVALE UT 84047 (40.62154701500003, -111.89048449899997)"
